City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,la passe,45.5549,-0.8967,4.13,69,100,2.97,FR,Sun Nov 26 20:58:36 2023
171,hinton,53.4001,-117.5857,-3.94,88,100,2.78,CA,Sun Nov 26 20:58:36 2023
172,sterling,39.0062,-77.4286,6.2,87,40,3.13,US,Sun Nov 26 20:58:37 2023
173,camana,-16.6228,-72.7111,19.5,83,76,2.41,PE,Sun Nov 26 20:58:37 2023
174,ixtapa,20.7,-105.2,25.68,66,100,1.07,MX,Sun Nov 26 20:58:38 2023
175,fortuna,40.5982,-124.1573,5.51,94,0,0.0,US,Sun Nov 26 20:58:38 2023
176,ha'il,27.5219,41.6907,14.01,58,0,2.06,SA,Sun Nov 26 20:58:38 2023
177,follonica,42.9263,10.7616,12.23,73,76,3.69,IT,Sun Nov 26 20:58:38 2023
178,flying fish cove,-10.4217,105.6791,28.82,65,40,5.14,CX,Sun Nov 26 20:58:39 2023
179,puerto aysen,-45.4,-72.7,7.84,82,87,0.52,CL,Sun Nov 26 20:58:39 2023
180,kingston,17.997,-76.7936,26.53,78,20,1.03,JM,Sun Nov 26 20:54:07 2023
181,berdyansk,46.7503,36.7944,1.64,76,90,15.33,UA,Sun Nov 26 20:58:39 2023
182,hamilton,39.1834,-84.5333,3.35,83,100,8.05,US,Sun Nov 26 20:49:44 2023
183,buka,40.8108,69.1986,13.33,30,100,1.31,UZ,Sun Nov 26 20:58:40 2023
184,candido mendes,-1.4467,-45.7167,24.3,90,90,1.59,BR,Sun Nov 26 20:58:40 2023
185,georgetown,5.4112,100.3354,30.96,74,20,2.57,MY,Sun Nov 26 20:53:49 2023
186,mocimboa,-11.3167,40.35,25.31,86,62,2.04,MZ,Sun Nov 26 20:58:40 2023
187,kone,-21.0595,164.8658,26.32,59,96,2.12,NC,Sun Nov 26 20:58:41 2023
188,frontera,26.9333,-101.45,11.05,83,100,1.34,MX,Sun Nov 26 20:58:41 2023
189,mount isa,-20.7333,139.5,33.87,38,75,2.57,AU,Sun Nov 26 20:58:41 2023
190,valle del guamuez,0.4525,-76.9192,21.0,98,84,0.91,CO,Sun Nov 26 20:58:41 2023
191,mirny,62.5353,113.9611,-18.38,94,98,3.93,RU,Sun Nov 26 20:58:42 2023
192,galliano,29.4422,-90.2992,14.44,82,0,2.06,US,Sun Nov 26 20:58:42 2023
193,golere,16.2557,-14.1017,23.13,16,0,3.63,SN,Sun Nov 26 20:58:42 2023
194,kattivakkam,13.2167,80.3167,28.37,86,66,4.62,IN,Sun Nov 26 20:58:42 2023
195,dibba al-hisn,25.6196,56.2729,18.1,64,52,0.93,AE,Sun Nov 26 20:58:43 2023
196,moundou,8.5667,16.0833,24.44,37,96,1.23,TD,Sun Nov 26 20:58:43 2023
197,huilong,31.8111,121.655,14.98,47,0,7.08,CN,Sun Nov 26 20:58:43 2023
198,saldanha,-33.0117,17.9442,16.03,87,3,5.08,ZA,Sun Nov 26 20:56:01 2023
199,suoyarvi,62.0833,32.35,-12.06,95,96,3.61,RU,Sun Nov 26 20:58:44 2023
200,chibougamau,49.9168,-74.3659,-3.21,93,100,5.14,CA,Sun Nov 26 20:58:44 2023
201,plettenberg bay,-34.0527,23.3716,18.34,64,1,2.01,ZA,Sun Nov 26 20:58:44 2023
202,tottori,35.5,134.2333,16.04,51,75,4.63,JP,Sun Nov 26 20:58:44 2023
203,al kharj,24.155,47.3346,22.32,40,36,3.18,SA,Sun Nov 26 20:58:45 2023
204,ashland,40.8167,-82.2665,3.98,95,100,5.76,US,Sun Nov 26 20:58:45 2023
205,belmonte,-15.8631,-38.8828,23.78,91,82,0.26,BR,Sun Nov 26 20:58:45 2023
206,carnarvon,-24.8667,113.6333,23.94,60,100,6.01,AU,Sun Nov 26 20:58:45 2023
207,moose jaw,50.4001,-105.5344,-5.86,86,97,3.6,CA,Sun Nov 26 20:58:46 2023
208,warmbad,-28.45,18.7333,22.21,28,9,0.94,NA,Sun Nov 26 20:58:46 2023
209,novodvinsk,64.4165,40.8122,-18.69,97,19,1.92,RU,Sun Nov 26 20:58:46 2023
210,mount pearl,47.5166,-52.7813,1.29,85,100,3.09,CA,Sun Nov 26 20:58:46 2023
211,arvayheer,46.2639,102.775,-8.33,49,26,2.77,MN,Sun Nov 26 20:58:47 2023
212,sinabang,2.4803,96.3801,28.11,71,77,2.49,ID,Sun Nov 26 20:58:47 2023
213,aasiaat,68.7098,-52.8699,-7.14,95,100,3.8,GL,Sun Nov 26 20:58:47 2023
214,los andes,-32.8337,-70.5983,17.78,65,6,0.22,CL,Sun Nov 26 20:58:47 2023
215,kourou,5.1552,-52.6478,26.03,90,99,3.14,GF,Sun Nov 26 20:58:47 2023
216,dakhla,23.6848,-15.958,17.96,70,9,6.77,EH,Sun Nov 26 20:58:48 2023
217,hithadhoo,-0.6,73.0833,27.98,74,17,2.69,MV,Sun Nov 26 20:58:48 2023
218,naracoorte,-36.9579,140.7383,21.93,44,17,3.45,AU,Sun Nov 26 20:58:48 2023
219,makinsk,52.6292,70.4169,-0.48,74,100,5.95,KZ,Sun Nov 26 20:58:48 2023
220,gurupa,-1.405,-51.64,22.87,99,85,1.12,BR,Sun Nov 26 20:58:49 2023
221,chinsali,-10.5414,32.0816,18.09,92,97,0.93,ZM,Sun Nov 26 20:58:49 2023
222,tileagd,47.0667,22.2,-4.14,82,18,5.53,RO,Sun Nov 26 20:58:49 2023
223,al jawf,29.5,38.75,13.61,41,0,3.6,SA,Sun Nov 26 20:58:49 2023
224,hancheng,32.5186,112.3522,16.12,37,0,2.16,CN,Sun Nov 26 20:58:49 2023
225,kuanda,56.3161,116.0806,-20.84,90,68,1.35,RU,Sun Nov 26 20:58:50 2023
226,zheleznogorsk-ilimskiy,56.5768,104.1217,-17.88,84,79,0.65,RU,Sun Nov 26 20:58:50 2023
227,lincoln city,44.9582,-124.0179,8.22,74,6,4.47,US,Sun Nov 26 20:58:50 2023
228,ingeniero guillermo n. juarez,-23.9,-61.85,24.34,82,100,1.69,AR,Sun Nov 26 20:58:50 2023
229,copala,16.65,-98.9833,25.66,79,88,1.49,MX,Sun Nov 26 20:58:51 2023
230,lichinga,-13.3128,35.2406,18.61,66,98,2.66,MZ,Sun Nov 26 20:58:51 2023
231,cabedelo,-6.9811,-34.8339,25.37,80,16,5.47,BR,Sun Nov 26 20:58:51 2023
232,tongliao,43.6125,122.2653,-6.56,80,100,5.23,CN,Sun Nov 26 20:58:51 2023
233,remire-montjoly,4.9167,-52.2667,26.02,94,40,1.03,GF,Sun Nov 26 20:58:52 2023
234,giyani,-23.3025,30.7187,22.72,69,0,2.55,ZA,Sun Nov 26 20:58:52 2023
235,nuuk,64.1835,-51.7216,-4.44,82,99,5.29,GL,Sun Nov 26 20:58:52 2023
236,kristiansund,63.1115,7.732,-1.64,64,2,3.6,NO,Sun Nov 26 20:58:52 2023
237,aguazul,5.1728,-72.5471,22.35,91,35,1.38,CO,Sun Nov 26 20:58:52 2023
238,punta arenas,-53.15,-70.9167,6.06,65,0,3.09,CL,Sun Nov 26 20:58:53 2023
239,maitum,6.0392,124.4986,29.47,70,74,1.7,PH,Sun Nov 26 20:58:53 2023
240,tongchuanshi,35.0806,109.0897,12.93,21,42,5.18,CN,Sun Nov 26 20:58:53 2023
241,taoudenni,22.6783,-3.9836,16.35,23,0,3.87,ML,Sun Nov 26 20:58:53 2023
242,guerrero negro,27.9769,-114.0611,18.81,61,44,1.72,MX,Sun Nov 26 20:58:53 2023
243,margate,51.3813,1.3862,9.94,95,100,2.68,GB,Sun Nov 26 20:58:54 2023
244,saint-philippe,-21.3585,55.7679,26.77,70,1,3.18,RE,Sun Nov 26 20:58:54 2023
245,enewetak,11.3474,162.3373,28.03,80,16,9.94,MH,Sun Nov 26 20:58:54 2023
246,mcminnville,45.2101,-123.1987,7.32,75,0,3.09,US,Sun Nov 26 20:58:54 2023
247,santa cruz,-17.8,-63.1667,23.7,94,75,4.63,BO,Sun Nov 26 20:58:55 2023
248,griffith,41.5284,-87.4237,-1.17,78,100,5.14,US,Sun Nov 26 20:50:59 2023
249,dryden,49.7833,-92.7503,-13.84,85,100,3.09,CA,Sun Nov 26 20:58:55 2023
250,waynesboro,38.0685,-78.8895,6.32,61,0,3.09,US,Sun Nov 26 20:57:58 2023
251,akureyri,65.6835,-18.0878,-6.04,93,0,0.0,IS,Sun Nov 26 20:56:33 2023
252,las navas del marques,40.6024,-4.3345,4.24,67,52,1.56,ES,Sun Nov 26 20:58:56 2023
253,lihue,21.9789,-159.3672,25.58,86,75,6.17,US,Sun Nov 26 20:58:56 2023
254,hermanus,-34.4187,19.2345,16.78,77,18,0.82,ZA,Sun Nov 26 20:58:56 2023
255,dourados,-22.2211,-54.8056,20.15,96,100,2.21,BR,Sun Nov 26 20:58:56 2023
256,okha,53.5739,142.9478,-12.18,87,74,12.01,RU,Sun Nov 26 20:56:54 2023
